objectid,filename,title,officialtitle,nickname,yearofadoption,yearlastupdated,groupassociation,location,creator,adopter,physicaldescription,context,historicalcontext,subject,keywords,format,,,,,,
okanaganaclogo,Okanagan AC Logo.jpg,Okanagan AC Logo,Okanagan AC Logo,NA,2020,2020,Rise Above Movement; Active Clubs Podcast,"Okanagan, British Columbia, Canada","Robert Rundo, Denis Kapustin",NA,"The Okanagan AC logo consists of a large white Celtic cross, with a dragon in the center, swimming on the water, with mountains and a sun in the background. The rays from the sun are shaped similar to the sonnenrad.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. Additionally, making the sunrays similar to the sorrenrad is a clear reference to a Nazi symbol. The Sonnenrad (Black Sun) is a Nazi symbol known for being displayed after a renovation at the hands of Nazi SS leader Heinrich Himmler in a floor mosaic in Germany's Wewelsburg Castle. It has a pagan origin and relates the number of months to the sun, very important elements in the Nazi mystical worldview. The symbol's design consists of twelve radial sig runes, similar to the symbols employed by the SS in their logo. Modern far-right groups call the symbol the sun wheel or Sonnenrad_. _There are other cultures that employ the sun wheel or versions of it for different purposes than those of far-right extremists. When determining if the symbol is being used by extremists, context is required. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Western Guard Party chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. Furthemore, the inclusion of a dragon is another potential reference to Medieval symbolism. During the Middle Ages, dragons became popular figures in heraldry, appearing on banners, seals and other emblems of authority and military might. Dragon-killing saints adorn coins from Christian kingdoms but can be found in the Islamic world as well.",white nationalism; racism; Neo-Nazi; white supremacy; white supremacist; white supremacist propaganda; ,celtic cross; high cross; Canadian; dragon; sonnenrad; black sun,image/jpeg,,,,,,
wildroseactiveclublogo,Wild Rose Active Club Logo.jpg,Wild Rose Active Club Logo,Wild Rose Active Club Logo,NA,2020,2020,Rise Above Movement; Active Clubs Podcast,"Alberta, Canada","Robert Rundo, Denis Kapustin",NA,"The symbol of the Wild Rose Active Club consists of a large Celtic Cross with a cartoon image of a Christian cross in the center. The words ""Since XIV, Wild Rose Ultras"" are displayed on the cross.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The use of a Christian cross in the center of the logo further emphasize Christian supremacy. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Western Guard Party chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white nationalism; racism; Neo-Nazi; white supremacy; white supremacist; white supremacist propaganda; ,celtic cross; high cross; Canadian; Christian cross; wild rose,image/jpeg,,,,,,
steelcitynationalistclublogo,Steel City Nationalist Club Logo.jpg,Steel City Nationalist Club Logo,Steel City Nationalist Club,NA,2020,2020,Rise Above Movement; Active Clubs Podcast,"Hamilton, Ontario, Canada","Robert Rundo, Denis Kapustin",NA,"The symbol of the Steel City Nationalist Club consists of a black Celtic Cross with a sword going from top-to-bottom, and a bar of weights going from left-to-right. In the center are black fleur-de-lys on top of a black sonnenrad. The words ""Steel City Nationalists"" are displayed around the image.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. Additionally, the use of the sorrenrad is a clear reference to a Nazi symbol. The Sonnenrad (Black Sun) is a Nazi symbol known for being displayed after a renovation at the hands of Nazi SS leader Heinrich Himmler in a floor mosaic in Germany's Wewelsburg Castle. It has a pagan origin and relates the number of months to the sun, very important elements in the Nazi mystical worldview. The symbol's design consists of twelve radial sig runes, similar to the symbols employed by the SS in their logo. Modern far-right groups call the symbol the sun wheel or Sonnenrad_. _There are other cultures that employ the sun wheel or versions of it for different purposes than those of far-right extremists. When determining if the symbol is being used by extremists, context is required. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Western Guard Party chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white nationalism; racism; Neo-Nazi; white supremacy; white supremacist; white supremacist propaganda; ,celtic cross; high cross; Canadian; sword; fleur de lys; weights; sports club,image/jpeg,,,,,,
aryanguardlogo,Aryan Guard Logo.jpg,Aryan Guard Logo,Aryan Guard Logo,NA,2006,2006,Aryan Guard,"Calgary, Alberta, Canada",Kyle McKee,NA,"The logo for The Heritage Front consists of a black or navy-blue backdrop. There is a white liferune, with a black/navy-blue HF (the letters bleed into one another as the right-side line of the ""H"" mixes with the vertical line of the ""F"") standing for ""Heritage Front""","The Life Rune, also known as Elhaz Rune and/or Algis Rune, was appropriated by Nazi Germany in an attempt to glorify an idealized ""Aryan/Norse"" heritage. These were most often appropriated pre-Roman European symbol. Elhaz means ""elk"" and in early Europe this symbol had meanings related to stags or hunting, as well as honor, nobility, or protection. The Nazis used the symbol in various contexts, including the SS's Lebensborn project, which encouraged SS troopers to have children out of wedlock with ""Aryan"" mothers and which kidnapped children of Aryan appearance from the countries of occupied Europe to raise as Germans. ","""Algiz (also Elhaz) is the name conventionally given to the """"z-rune"""" ? of the Elder Futhark runic alphabet. Its transliteration is z, understood as a phoneme of the Proto-Germanic language, the terminal *z continuing Proto-Indo-European terminal *s via Verner's law.<br><br>It is one of two runes which express a phoneme that does not occur word-initially, and thus could not be named acrophonically, the other being the ?-rune Ingwaz ?. As the terminal *-z phoneme marks the nominative singular suffix of masculine nouns, the rune occurs comparatively frequently in early epigraphy.<br><br>Because this specific phoneme was lost at an early time, the Elder Futhark rune underwent changes in the medieval runic alphabets. In the Anglo-Saxon futhorc it retained its shape, but became otiose as it ceased to represent any sound in an Old English.[2] However, possibly due to runic manuscript tradition, it was occasionally used to transliterate the Latin letter X into the runic script.""",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,life rune; Algiz rune; Elhaz rune; Old Norse,image/jpeg,,,,,,
theheritagefrontlogo,The Heritage Front Logo.jpg,The Heritage Front Logo,The Heritage Front Logo,NA,1989,1989,Heritage Front,Canada,Wolfgang Droege; Gerry Lincoln; Grant Bristow; James Scott Dawson,NA,"The logo for The Heritage Front consists of a black or navy-blue backdrop. There is a white liferune, with a black/navy-blue HF (the letters bleed into one another as the right-side line of the ""H"" mixes with the vertical line of the ""F"") standing for ""Heritage Front""","The Life Rune, also known as Elhaz Rune and/or Algis Rune, was appropriated by Nazi Germany in an attempt to glorify an idealized ""Aryan/Norse"" heritage. These were most often appropriated pre-Roman European symbol. Elhaz means ""elk"" and in early Europe this symbol had meanings related to stags or hunting, as well as honor, nobility, or protection. The Nazis used the symbol in various contexts, including the SS's Lebensborn project, which encouraged SS troopers to have children out of wedlock with ""Aryan"" mothers and which kidnapped children of Aryan appearance from the countries of occupied Europe to raise as Germans. ","""Algiz (also Elhaz) is the name conventionally given to the """"z-rune"""" ? of the Elder Futhark runic alphabet. Its transliteration is z, understood as a phoneme of the Proto-Germanic language, the terminal *z continuing Proto-Indo-European terminal *s via Verner's law.<br><br>It is one of two runes which express a phoneme that does not occur word-initially, and thus could not be named acrophonically, the other being the ?-rune Ingwaz ?. As the terminal *-z phoneme marks the nominative singular suffix of masculine nouns, the rune occurs comparatively frequently in early epigraphy.<br><br>Because this specific phoneme was lost at an early time, the Elder Futhark rune underwent changes in the medieval runic alphabets. In the Anglo-Saxon futhorc it retained its shape, but became otiose as it ceased to represent any sound in an Old English.[2] However, possibly due to runic manuscript tradition, it was occasionally used to transliterate the Latin letter X into the runic script.""",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,life rune; Algiz rune; Elhaz rune; Old Norse,image/jpeg,,,,,,
thehammerskinnationlogo,The Hammerskin Nation Logo.png,The Hammerskin Nation Logo,The Hammerskin Nation Logo,Crew 38,1988,1988,Rise Above Movement,"Dallas, Texas ; Canada",Unknown,NA,"The Hammerskin Nation logo does have different variations, but the one used in this entry in the coat-of-arms-esque logo. A shield-shape is in the background, filled in with the colors of the German Empire flag (black, white, red). The colors have a brick-effect, making the shield look like a brick wall. In the middle there is a grey gear wheel, and overtop that, two crossed hammers. The hammers are also in the colors of the German Empire flag (black, white red). ","The name and symbol of the Hammerskin Nation came from The Wall, a 1979 album by the rock group Pink Floyd that was made into a film in 1982. The Wall tells the story of Pink, a rock singer who becomes a drug addict, loses his grip on reality and turns to fascism. Pink performs a song in which he expresses a desire to line all of the ""queers,"" ""Jews,"" and ""coons"" in his audience ""up against the wall"" and shoot them. In obvious references to the Holocaust, he sings of the ""final solution"" and ""waiting to turn on the showers and fire the ovens."" The swastika is replaced by Pink's symbol: two crossed hammers, which he boasts will ""batter down"" the doors behind which frightened minorities hide from his fascist supporters. Though Pink Floyd does not support fascism, the Hammerskin Nation has made real the gruesome fantasy depicted in the band's film: racist rock music and racially motivated violence under a banner bearing two red, white and black crossed hammers","""Coats of arms were created in early medieval Europe, allowing participants in tournaments, as well as knights clad in military equipment, to easily be identified. With time, coats of arms evolved to denote family descent, adoption, alliance, property ownership, and eventually, profession. <br><br>In the 17th to 19th centuries, arms were embellished to record personal or family history, often in ways that ignored the traditions of hearldry's origins. They could also be designed for organizations far removed from war to symbolize the meanings of their mottoes or to hint at their histories.<br>""",white supremacy; Neo-Nazism; White supremacism; White nationanislm; Antisemitism; homophobia,German Empire; Hammerskin; rock group; white power rock; Crew 38,image/png,,,,,,
legionxvilogo,Legion XVI Logo.jpg,Legion XVI Logo,Legion XVI Logo,,2020,,International Active Club Network ,"California, United States of America",,Robert Rundo,"This logo consists of a white medieval helmet surrounded by laurel leaves, and two interlocking swords underneath. In the center, where the swords meet, is a white flower. the background is plain black. ","Although the laurel wreath is not medieval it does have other ancient origins. It originated in Ancient Greece where it was used to symbolized victory, especially within athletic competitions, musical and poetic contests, and military endeavors. <br>The laurel wreath, also with ancient origins, can be traced back to Ancient Egyptians, and their religion. In sum, within Ancient Egyptian religion it was a symbol of creation, rebirth, and the sun, since at night the flower closes and goes beneath the water and at dawn, comes back up from the water and reopens. The lotus has gone on to mean different things in different cultures, but overall continues to symbolize rebirth, purity, and strength. <br>","In medieval context the sword had many meanings, including a symbol of power, a status symbol for warriors, and overall, a symbol was a sign of nobility. <br>Helmets can mean protection, knightly identity, and a way to identify warriors on the battlefield. <br>",Neo-Nazi; white supremacy ,Sword; Helmet; Olive wreath; Greek Symbols; Lotus flower,image/jpeg,,,,,,
proudboyslogo,Proud Boys Logo.jpg,Proud Boys Logo,Proud Boys Logo,NA,2016,2016,Proud Boys,United States; Canada,Gavin McInnes,NA,"The logo of the Proud Boys has a fully blacked-out background. In the center are the letters ""PB"" in a golden yellow, surrounded by olive branches. The words ""STAND BACK"" at the top, and ""STAND BY"" at the bottom in golden yellow as well.","""Wreaths, now commonly used as decorations, adornment and memorial, have had a symbolic meaning in Western culture and history for over 2,000 years. <br><br><br>Woven from leaves and flowers and shaped in either a circle or a horseshoe shape that was worn around the head, wreaths have, since antiquity, symbolised glory, power and immortality. <br><br><br>In ancient Greece, wreaths were introduced as a reward for victory in athletic competitions, military endeavours and musical and poetic contests. ""","In a Medieval context, olive branches and wreaths were an invaluable aspect of life in Greece and an emblem of their culture. Winners of the Olympic Games, which were first held in 776 BCE and occurred every four years, were awarded a wreath made of olive leaves. These wreaths were known as kotinos and were said to have been gathered from the sacred wild olive tree in Olympia. The use of olive branches/wreath in this hate group's logo could symbolize that they will ""come out as winners"" and will thrive and conquer. ",misogyny; antisemitism; QAnon; white supremacy;  ,Olive branches; olive wreath; Greek symbols; Donald Trump;,image/jpeg,,,,,,
blueeyeddevilslogo,Blue Eyed Devils Logo.jpg,Blue Eyed Devils Logo,Blue Eyed Devils Logo,NA,1995,1995,Blue Eyed Devils,"Delaware, United States",Unknown,NA,The logo consists of a rounded Celtic Cross out of which a masked (or sometimes unmasked) man holds a gun pointed forward. ,"The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The Iron Corss, known as Eisernes Kreuz in German, holds a significant place in German military history. Originating in the Kingdom of Prussia, it later became a distinguished decoration in the German Empire and Nazi Germany. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Western Guard Party chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",White supremacy; music bands; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,celtic cross; music group; disbanded group,image/jpeg,,,,,,
boundforglorylogo,Bound for Glory Logo.jpg,Bound for Glory Logo,Bound for Glory Logo,NA,1989,1989,Bound for Glory,"Minneapolis, United States",Nick Lowles,NA,"The logo consists of a Thor's Hammer, which contains the band's initials -- ""BFG"" -- in the lower part of the hammer. Also common are the band's initals in or superimposed over an Iron Cross. ","Thor's Hammer is the hammer of the thunder god Thor in Norse mythology, used both as a devastating weapon and as a divine instrument to provide blessings. Meanwhile, the Iron Cross was a military decoration in the Kingdom of Prussia, and later in the German Empire (1871-1918) and Nazi Germany (1933-1945). ","Thor's Hammer is attested in numerous sources, including the 11th century runic Kvinneby amulet, the Poetic Edda, a collection of eddic poetry compiled in the 13th century, and the Prose Edda, a collection of prose and poetry compiled in the 13th century. ",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right; music group,iron cross; thor's hammer; Celtic; music band,image/jpeg,,,,,,
513activeclublogo,513 Active Club Logo.jpg,513 Active Club Logo,513 Active Club Logo,NA,2020,2020,"Active Club, 513 Active Club",Midwest United States,Robert Rundo,NA,"The logo is a simple Celtic Cross in bold, white lines, over a black background.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The Iron Corss, known as Eisernes Kreuz in German, holds a significant place in German military history. Originating in the Kingdom of Prussia, it later became a distinguished decoration in the German Empire and Nazi Germany. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Western Guard Party chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the Ancient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white supremacy; sports club; neo-nazi' Neo-Nazisim; ,sports club; podcast; active club; martial arts; fight groups; white supremacist propaganda,image/jpeg,,,,,,
activeclubportlandlogo,Active Club Portland Logo.jpg,Active Club Portland Logo,Active Club Portland Logo,NA,2020,2020,Active Club ,"Portland, Oregan",Robert Rundo,NA,"The Active Club Portland logo consists of a large white Celtic cross with a rose in the center, a symbol of the city of Portland, and the rose's thorny stems linking the rose to the rest of the cross. The center of the rose includes a sonnenrad.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The Iron Corss, known as Eisernes Kreuz in German, holds a significant place in German military history. Originating in the Kingdom of Prussia, it later became a distinguished decoration in the German Empire and Nazi Germany. The Sonnenrad (Black Sun) is a Nazi symbol known for being displayed after a renovation at the hands of Nazi SS leader Heinrich Himmler in a floor mosaic in Germany's Wewelsburg Castle. It has a pagan origin and relates the number of months to the sun, very important elements in the Nazi mystical worldview. The symbol's design consists of twelve radial sig runes, similar to the symbols employed by the SS in their logo. Modern far-right groups call the symbol the sun wheel or Sonnenrad_. _There are other cultures that employ the sun wheel or versions of it for different purposes than those of far-right extremists. When determining if the symbol is being used by extremists, context is required. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Active Club Portland chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,celtic cross; sorrendad; German Empire; Iron Cross,image/jpeg,,,,,,
alabamaactiveclublogo,Alabama Active Club Logo.jpg,Alabama Active Club Logo,Alabama Active Club Logo,NA,2020,2020,Active Club,"Alabama, United States",Robert Rundo,NA,"The symbol of the Alabama Active Club consists of the outside of a large white Celtic cross with a bleeding heart and two intersecting swords in the center with the Roman numerals MMXXIII (2023). The words ""Heart of Dixie Active Club"" are displayed along the cross.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The Iron Corss, known as Eisernes Kreuz in German, holds a significant place in German military history. Originating in the Kingdom of Prussia, it later became a distinguished decoration in the German Empire and Nazi Germany. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Alabama Active Club chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,celtic cross; German Empire; Iron Cross; active club,image/jpeg,,,,,,
