objectid,filename,title,officialtitle,nickname,yearofadoption,yearlastupdated,groupassociation,location,creator,adopter,physicaldescription,context,historicalcontext,subject,keywords,format,,,,,,
alabamaproudboyslogo,Alabama Proud Boys Logo.jpg,Alabama Proud Boys Logo,Alabama Proud Boys Logo,NA,2016,2016,Proud Boys movement,"Alabama, United States",Gavin McInnes,NA,"The symbol of the Alabama Proud Boys consists of a black and gold image of the geographical borders of Alabama, with two black crossing bans, resembling the Confederate flag, surrounded by laurel leaves. Around the image are the words ""Proud Boys Dixie One, We Dare Defend Our Rights.""","The use of Alabama's geographical borders emphasizes the sense of division that this hate group is trying to project. Furthermore, the use of laurel leaves is a direct connection to triumph and rule, especially in Ancient Rome and in Greek mythology.","In Ancient Rome, laurel leaves/crowns were worn on the head as a symbol of triumph. The symbol of the laurel wreath is from Greek mythology. The Romans adopted the symbol because they admired Greek culture. In Rome, they were symbols of military victory. Military commanders or emperors often wore them after a battle.",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,laurel leaves; olive branches; greek mythology; ancient rome; proud boys; alabama,image/jpeg,,,,,,
americanguardlogo,American Guard Logo.png,American Guard Logo,American Guard Logo,NA,2016,2017,"Vinlanders Social Club, The American Guard, Bill the Butcher, Gangs of New York","Indiana, United States",Brien James,NA,"The group's symbol is a shield with the colors of the American flag with the text ""come and take it"" at the top. In the middle, there are two criss-crossed butcher cleavers. ","The phrase ""come and take it,"" is a reference to the battle of the Alamo in Texas,. As for the butcher cleavers, these are in reference to the fictional character ""Bill the Butcher"" from the film ""Gangs of New York."" In the film Bill the Butcher, the villain depicted by Daniel Day Lewis, is a nationalist whose weapon of choice is knives and often butchers' cleavers.","The use of a shield - similarily connected to a coat of arms - can be linked back to the Medieval Period. Shields were elements of warfare and reflected technological progress as well as changing tactical requirements, whereas coats of arms were the principal part of a system of hereditary symbols dating back to the Medieval era. They were primarily used to establish identity in battle. Thus, the American Guard logo has inevitable connections to Medieval warfare and tactics.",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right; anti-immigrant,shield; coat of arms; American flag; butcher cleavers; Alamo; Bill the Butcher,image/png,,,,,,
ancientcityproudboyslogo,Ancient City Proud Boys Logo.jpg,Ancient City Proud Boys Logo,Ancient City Proud Boys Logo,NA,2016,2016,"Proud Boys, Ancient City Proud Boys","St. Augustine, Florida, United States",Gavin McInnes,NA,"The symbol of the Ancient City Proud Boys consists of a black and yellow image of the head of a motorcycle surrounded by yellow laurel leaves and a sun above it with the Proud Boys rooster in the center. The words ""Ancient City Southie proud Boys"" are found around the image.","The use of laurel leaves/olive branches can be a direct connection to Ancient Rome, the Roman Empire, and power in general. Additionally, a motorcycle can mean the open road, the freedom of exploration, the thrill of adventure just around the next corner. These are two core beliefs of most right-hand hate groups, thus aligning perfectly with the Ancient City Proud Boys' movement.","In Ancient Rome, laurel leaves/crowns were worn on the head as a symbol of triumph. The symbol of the laurel wreath is from Greek mythology. The Romans adopted the symbol because they admired Greek culture. In Rome, they were symbols of military victory. Military commanders or emperors often wore them after a battle.",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right; anti-immigrant,laurel leaves; olive branches; greek mythology; ancient rome; proud boys; motorcycle,image/jpeg,,,,,,
arizonaactionactiveclublogo,Arizona Action Active Club Logo.jpg,Arizona Action Active Club Logo,Arizona Action Active Club Logo,NA,2020,2020,American Guard,"Arizona, United States",Robert Rundo,NA,"The symbol of the Arizona Action Active Club is a large black Celtic cross with black sunrays in the top half of the cross, a black star in the center, and a black image of a rattlesnake towards the bottom. In the center, the words ""Arizona Action"" are displayed.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. Furthermore, the rattlesnake is often associated to strength, protection, and intution. It can symbolize the need to stay alert and aware of its surroundings. It may also represent the ability to shed old habits or situations to make way for growth and renewal. While that last part could be understood as ""healing"" America, in the context of far-right hate groups, this could refer to shedding newer laws, and going back to ""the old ways.""","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Western Guard Party chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right; anti-immigrant,celtic cross; rattlesnake; arizona; action; active club; sports club,image/jpeg,,,,,,
aryanfreedomnetworklogo,Aryan Freedom Network Logo.jpg,Aryan Freedom Network Logo,Aryan Freedom Network Logo,NA,2018,2024,De Kalb Ku Klux Klan,"Texas, United States",Dalton Henry Stout,NA,Their logo consists of a large red shield with a Nazi totenkampf in the center with laurel leaves along the side. The initials AFN can be found underneath it.,"The use of laurel leaves/olive branches can be a direct connection to Ancient Rome, the Roman Empire, and power in general. Additionally, the use of a shield/coat of arms for the logo can be linked back to the Medieval Period, where these were elements of warfare and reflected technological progress as well as changing tactical requirements. In a modern context, the Aryan Freedom Network logo being a shield/coat of arms could symbolize their warrior-like stance on their beliefs, and their willingness for violence.  ","The use of a shield - similarily connected to a coat of arms - can be linked back to the Medieval Period. Shields were elements of warfare and reflected technological progress as well as changing tactical requirements, whereas coats of arms were the principal part of a system of hereditary symbols dating back to the Medieval era. They were primarily used to establish identity in battle. Additionally, in Ancient Rome, laurel leaves/crowns were worn on the head as a symbol of triumph. The symbol of the laurel wreath is from Greek mythology. The Romans adopted the symbol because they admired Greek culture. In Rome, they were symbols of military victory. Military commanders or emperors often wore them after a battle.",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right; anti-immigrant,laurel leaves; olive branches; greek mythology; ancient rome; Aryan Freedom; shield; coat of arms; warfare,image/jpeg,,,,,,
atlasactiveclublogo,Atlas Active Club Logo.jpg,Atlas Active Club Logo,Atlas Active Club Logo,NA,2020,2020,"Active Club, Rise Above Movement","Atlanta, Georgia, United States",Robert Rundo,NA,"The Atlas Active Club logo consists of a large white Celtic cross with a crest in the center with two swords, a flower, and the Roman numerals ""XIV"" at the bottom. The words ""Atlas Active Club"" and ""Igni Ferroque"" (with fire and iron) can be found alongside the cross.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The Iron Corss, known as Eisernes Kreuz in German, holds a significant place in German military history. Originating in the Kingdom of Prussia, it later became a distinguished decoration in the German Empire and Nazi Germany. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Alabama Active Club chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,celtic cross; German Empire; Iron Cross; active club,image/jpeg,,,,,,
baystateactiveclublogo,Bay State Active Club Logo.jpg,Bay State Active Club Logo,Bay State Active Club Logo,NA,2020,2020,"Active Club, Rise Above Movement","Massachusetts, United States",Robert Rundo,NA,"The symbol of the Bay State Active Club consists of a large Celtic cross, with a shield with a tree and star in the center, on top of an anchor and a person holding a sword.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The Iron Corss, known as Eisernes Kreuz in German, holds a significant place in German military history. Originating in the Kingdom of Prussia, it later became a distinguished decoration in the German Empire and Nazi Germany. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Alabama Active Club chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,celtic cross; German Empire; Iron Cross; active club,image/jpeg,,,,,,
bigskyactiveclublogo,Big Sky Active Club Logo.jpg,Big Sky Active Club Logo,Big Sky Active Club Logo,NA,2020,2020,"Active Club, Rise Above Movement","Montana, United States",Robert Rundo,NA,"The logo of the Big Sky Active Club consists of a large white Celtic cross with a mountain range and the rays of a sonnenrad in the areas in between the arms of the cross. In the center is the eagle used in the iconography of Nazi Germany holding a key. Along the sides are the words ""41st - Big Sky Active Club.""","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The Iron Corss, known as Eisernes Kreuz in German, holds a significant place in German military history. Originating in the Kingdom of Prussia, it later became a distinguished decoration in the German Empire and Nazi Germany. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Alabama Active Club chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,celtic cross; German Empire; Iron Cross; active club,image/jpeg,,,,,,
bronzeageactiveclublogo,Bronze Age Active Club Logo.jpg,Bronze Age Active Club Logo,Bronze Age Active Club Logo,NA,2020,2020,"Active Club, Rise Above Movement","West Virignia, United States",Robert Rundo,NA,"The logo of the Bronze Age Active Club consists of a large white Celtic cross with two interlocking swords and an ancient helmet in the center. The words ""Bronze Age Active Club"" can be found along the sides.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The Iron Corss, known as Eisernes Kreuz in German, holds a significant place in German military history. Originating in the Kingdom of Prussia, it later became a distinguished decoration in the German Empire and Nazi Germany. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Alabama Active Club chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,celtic cross; German Empire; Iron Cross; active club,image/jpeg,,,,,,
buffalobayouactiveclublogo,Buffalo Bayou Active Club Logo.jpg,Buffalo Bayou Active Club Logo,Buffalo Bayou Active Club Logo,NA,2020,2020,"Active Club, Rise Above Movement","Texas, United States",Robert Rundo,NA,"The Buffalo Bayou Active Club logo consists of a large black Celtic cross, with three individuals holding rifles, surrounded by laurel leaves, in the center. The words ""Buffalo Bayou Active Club"" are found along the sides of the cross.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The Iron Corss, known as Eisernes Kreuz in German, holds a significant place in German military history. Originating in the Kingdom of Prussia, it later became a distinguished decoration in the German Empire and Nazi Germany. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Alabama Active Club chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,celtic cross; German Empire; Iron Cross; active club,image/jpeg,,,,,,
atomwaffendivisionlogo,Atomwaffen Division Logo.png,Atomwaffen Division Logo,Atomwaffen Division Logo,NA,2015,2015,Atomwaffen Divison,United States; Russia; Ukraine; Europe; Brazil; Britain; Poland,Brandon Russell,NA,"The Atomwaffen Division logo consists of a trefoil, or radiation warning symbol, usually depicted on a Nazi Waffen SS shield surrounded by a garland with four rays of yellow emanating from the corners.","Wreaths, now commonly used as decorations, adornment and memorial, have had a symbolic meaning in Western culture and history for over 2,000 years. Woven from leaves and flowers and shaped in either a circle or a horseshoe shape that was worn around the head, wreaths have, since antiquity, symbolised glory, power and immortality. In ancient Greece, wreaths were introduced as a reward for victory in athletic competitions, military endeavours and musical and poetic contests.","In a Medieval context, olive branches and wreaths were an invaluable aspect of life in Greece and an emblem of their culture. Winners of the Olympic Games, which were first held in 776 BCE and occurred every four years, were awarded a wreath made of olive leaves. These wreaths were known as kotinos and were said to have been gathered from the sacred wild olive tree in Olympia. The use of olive branches/wreath in this hate group's logo could symbolize that they will ""come out as winners"" and will thrive and conquer.",white power accelerationism; racism; white supremacy; white supremacists,Olive branches; olive wreath; Greek symbols; Donald Trump; attomwaffen ,image/png,,,,,,
aryancowboybrotherhoodlogo,Aryan Cowboy Brotherhood Logo.jpg,Aryan Cowboy Brotherhood Logo,Aryan Cowboy Brotherhood Logo,NA,2020,2020,Aryan Brotherhood,Minnesota; Kentucky,Unknown,NA,The symbol of the Aryan Cowboy Brotherhood consists of a helmeted and winged skull with the initials ACB.,"Winged helmets can often link back to the Greek God, Hermes, which could potential refer to the Aryan Cowboy Brotherhood as the ""messengers"" of what they believe is justice.","Although winged helmets only started being widely used in the 19th century -- primarily to depict the Celts - it was also used in romantic illustrations of legendary Norse gods and heroes (790 - 1100 CE), as well as the Greek God, Hermes (3000 -1100 BCE). ",white supremacy; prison gang; street gang; neo-Nazi,helmet; wings; greek myth; norse myth; celts; winged helmet,image/jpeg,,,,,,
alamoactiveclublogo,Alamo Active Club Logo.jpg,Alamo Active Club Logo,Alamo Active Club Logo,NA,2020,2020,Active Club,"Texas, United States",Robert Rundo,NA,"The symbol of the Alamo Active Club is a large white Celtic cross with an image of the Alamo in the center. The words ""Alamo Active Club"" are shown along the Celtic Cross.","The Celtic cross is a form of Christian cross that emerged in Ireland, France, and Grand Britain in the Early Middle Ages and was an import symbol during Medieval times. The use of the Celtic Cross is seen in various far-right hate group logos as it could amplify the ""rightness"" of Christianity and the group's ulterior motives. The Iron Corss, known as Eisernes Kreuz in German, holds a significant place in German military history. Originating in the Kingdom of Prussia, it later became a distinguished decoration in the German Empire and Nazi Germany. ","Although the first high cross/Celtic cross appeared in the ninth century (aprx.) being a product of the Irish monastic community, they continued to be carved well into the twelfth century and onwards. There was a unique Early Medieval tradition in Ireland and Britain of raising these large sculpted stone crosses, usually outdoors. In general, a high cross would typically used as boundary markers of significant territories or sacred land and as monuments to political power during the Medieval period. That being said, one could assume that the Active Club Portland chose to adapt this sacred emblem in their logo to indicate their power and ownership of ""sacred land."" From a modern perspective, there have been various large modern versions of high crosses erected for various functions starting in the 19th century. Celtic crosses then became popular for invidiual grave monuments, usually featuring only abstract onament, usually interlace. In 1887, the Reverand William Slater Caverly commissioned a replica life-sized copy of Fogforth cross and had it placed in the churchyard at Aspatria, Cumbria. In the 21st century, the Irish scultptor Brendan McGloin was commissioned by the ANcient Order of Hibernians, Portland to handcraft a full size replica of the Clonmacnoise Cross of the Scriptures. it was completed in 2007 and shipped to Donegal to Portland, Oregan where it will stand as a Famine memorial. There exist various other instances like this one where high crosses were commissioned for a reason or another in the 21st century. ",white supremacy; white nationalist; neo-nazism; anti-islam; antisemitism; far-right,celtic cross; German Empire; Iron Cross; active club,image/jpeg,,,,,,
patriotfrontnetworkxilogo,Patriot Front Network XI Logo.jpg,Patriot Front Network XI Logo,Patriot Front Network XI Logo,,2017,,Patriot Front Members ,"North Dakota, South Dakota, Nebraska, Iowa, Minnesota, United states of America",Thomas Rousseau,,"The logo consists of a diamond with the letter ""N"" towards the top and ""W"" at the bottom. In the centre is a smaller diamond with the roman numerals XI and six crossing arrows. There are also the initials, ""ND"", ""SD"", ""NE"", ""IA"",""MN"", located outside the bottom half of the diamond. ","The main shape of a diamond usually symbolizes love, commitment, and purity, although they have been used in the past as representations as strength and invincibility. <br>The initials outside the bottom half of the diamond represent the states associated with this specific chapter. ND is North Dakota, SD is South Dakota, NE is Nebraska, IA is Iowa, and MN is Minnesota. <br>The ""N"" within the diamond stands for ""north"" and the ""W"" stands for ""west"" as all the states mentioned on the logo are within the ""north west"" region of the United States. <br>Then The ""XI"" in the middle is referring to the number chapter they are out of the whole ""Patriot Front"" association. ","Arrows were an extremely common fighting and hunting technique starting from the classical period, throughout the medieval period, and went on until the 19th Century. They were used with bows through the form of Archery. They would use shorter bows, as demonstrated on the logo, as they had a range of about 100 yards and could pierce through armour. ",White Nationalist; Anti-LGBTQ+,Arrows; Archery; American; North-West,image/jpeg,,,,,,
patriotfrontnetworkvlogo,Patriot Front Network V Logo.jpg,Patriot Front Network V Logo,Patriot Front Network V Logo,,2017,,Patriot Front Members ,"Utah, Wyoming, United States of America",Thomas Rousseau,,"The logo consists of a diamond with the letter ""N"" towards the top and ""W"" at the bottom. In the centre is a smaller diamond with the roman numeral ""V"" and six crossing arrows. ","The main shape of a diamond usually symbolizes love, commitment, and purity, although they have been used in the past as representations as strength and invincibility. <br>The ""N"" within the diamond stands for ""north"" and the ""W"" stands for ""west"" as all the states mentioned on the logo are within the ""north west"" region of the United States. <br>Then The ""V"" in the middle is referring to the number chapter they are out of the whole ""Patriot Front"" association. ","Arrows were an extremely common fighting and hunting technique starting from the classical period, throughout the medieval period, and went on until the 19th Century. They were used with bows through the form of Archery. They were very common as they would use shorter bows, as demonstrated on the logo, because they had a range of about 100 yards and could pierce through armour. ",White Nationalist; Anti-LGBTQ+,Arrows; Archery; American; North-West,image/jpeg,,,,,,
churchofthecreatorlogo,Church of the Creator Logo.jpg,Church of the Creator Logo,World Church of the Creator Logo,"Creativity, or WCOTC",1973,,"Church of the Creator, Creativity, World Church of the Creator",United States of America,Ben Klassen,,The logo for the Creativity Movement consists of a red and white flag which inside is a white circle. Inside the white circle there is a crown which on top of has a large letter W. ,"The red portion of the flag represents the struggle for the survival, expansion, and advancement of the white race, and the white triangle on the right side of the flag, as well as the white circle represents a ""whiter and brighter world"". This is also consistent with the ""W"" which simply stands for ""White"". There is also a halo on top of the crown which symbolizes holiness, divinity, and enlightenment, although can also be used to express an aura of glory around an idealized person or thing. ","The medieval period is full of fascinating kings and queens, where the crown, as shown within this logo, developed into this symbol of power, hierarchy, and distinction. Monarches were crowned within churches and crowns were not only worn by these political leaders but could also be associated with religious leaders. This is prevalent in the form of Votive crowns, which were especially popular in the medieval age churches. A votive crown is a votive offering in the form of a crown, normally in precious metals and often adorned with jewels, and would be suspended from chains at an altar. ",White Supremacy; Anti-Theism; Anti-Semitism; Anti-Christian; Anti-LGBTQ+,Crown; King; Queen; Monarch; Church; Votive ,image/jpeg,,,,,,
